the root | the blacker the content the sweeter the truth,the root,,,,,,,,,,,,,,,
the takeout | food is delicious.,the takeout,,,,,,,,,,,,,,,
the onion | america's finest news source.,the onion,,,,,,,,,,,,,,,
the inventory | it's all consuming.,the inventory,,,,,,,,,,,,,,,
search - the inventory,the inventory,,,,,,,,,,,,,,,
"skillet | lifehacker - recipes, kitchen skills, party tips, tricks and hacks.",skillet,,,,,,,,,,,,,,,
"two cents | lifehacker - money, investing, budgeting and saving tips, tricks and hacks",two cents,,,,,,,,,,,,,,,
"vitals | lifehacker - health, fitness and wellness tips, tricks and hacks.",vitals,,,,,,,,,,,,,,,
"offspring | lifehacker - the best parenting tips, tricks and hacks",offspring,,,,,,,,,,,,,,,
"tech 911 - tips, tricks and hacks for doing everything better | lifehacker",lifehacker,,,,,,,,,,,,,,,
"coronavirus - tips, tricks and hacks for doing everything better | lifehacker",lifehacker,,,,,,,,,,,,,,,
"the upgrade - tips, tricks and hacks for doing everything better | lifehacker",lifehacker,,,,,,,,,,,,,,,
"video - tips, tricks and hacks for doing everything better | lifehacker",lifehacker,,,,,,,,,,,,,,,
fireflies are going extinct. here's how to help save them,fireflies,,,,,,,,,,,,,,,
how to lock your facebook messenger chats using face id,"facebook,face id,facebook messenger",,,,,,,,,,,,,,,
build your own peloton-style exercise bike and save money,"exercise bike,peloton",,,,,,,,,,,,,,,
blend wilted herbs with mayo to create a flavorful spread,herbs,,,,,,,,,,,,,,,
dave franco is playing vanilla ice in upcoming biopic,"dave franco,vanilla ice,biopic",,,,,,,,,,,,,,,
fake movie poster of the justice league murdering marvel characters was used for real in china,"justice league,china",,,,,,,,,,,,,,,
what's new on (and leaving) netflix in august 2020,netflix,,,,,,,,,,,,,,,
remove storage-hogging windows 10 apps with 'bloatbox',"windows 10,apps",,,,,,,,,,,,,,,
lifehacker,lifehacker,,,,,,,,,,,,,,,
frank and oak's sustainable cotton masks are here to help you social distance in style,frank and oak,,,,,,,,,,,,,,,
"news | the inventory - fun new products, the most unique crowdfunding campaigns, and more from the inventory.",news,,,,,,,,,,,,,,,
"the best hp laptop, desktop, and peripheral deals for july 2020",deals,,,,,,,,,,,,,,,
roundups | the inventory - the best deals and product recs from our readers’ favorite brands.,roundups,,,,,,,,,,,,,,,
"the root institute is coming this august and stacey abrams, ava duvernay, lee daniels, tarana burke and ayanna pressley will be there","the root institute,ava duvernay,lee daniels,ayanna pressley,tarana burke,stacey abrams,the root",,,,,,,,,,,,,,,
the best comedy movies on hulu: what to watch (july 2020),"hulu,comedy,movies",,,,,,,,,,,,,,,
"scientists accidentally create new type of fish, as one does",fish,,,,,,,,,,,,,,,
christopher nolan films ranked: inception to dark knight rises,"christopher nolan,inception",,,,,,,,,,,,,,,
"amid backlash, u.s. army retreats from twitch","twitch,u.s. army",,,,,,,,,,,,,,,
"social media - tips, tricks and hacks for doing everything better | lifehacker",lifehacker,,,,,,,,,,,,,,,
"sound like darth vader, t-pain and more with the voicemod app for ios and android","android,ios,voicemod",,,,,,,,,,,,,,,
"field guide - tech and science tips, reviews, news and more. | gizmodo",gizmodo,,,,,,,,,,,,,,,
"the best deals to shop on july 22, 2020",deals,,,,,,,,,,,,,,,
"nature - tips, tricks and hacks for doing everything better | lifehacker",lifehacker,,,,,,,,,,,,,,,
"investing - tips, tricks and hacks for doing everything better | lifehacker",lifehacker,,,,,,,,,,,,,,,
"work - tips, tricks and hacks for doing everything better | lifehacker",lifehacker,,,,,,,,,,,,,,,
how to organize a fundraiser on instagram,instagram,,,,,,,,,,,,,,,
"ios - tips, tricks and hacks for doing everything better | lifehacker",lifehacker,,,,,,,,,,,,,,,
"eating trash with claire - tips, tricks and hacks for doing everything better | lifehacker",lifehacker,,,,,,,,,,,,,,,
"travel - tips, tricks and hacks for doing everything better | lifehacker",lifehacker,,,,,,,,,,,,,,,
where to travel in an rv during the coronavirus pandemic,"travel,rv",,,,,,,,,,,,,,,
"streaming - tips, tricks and hacks for doing everything better | lifehacker",lifehacker,,,,,,,,,,,,,,,
all the movies and tv shows coming to netflix in july 2020,movies,,,,,,,,,,,,,,,
"events - black news, opinions, politics and culture | the root",the root,,,,,,,,,,,,,,,
film | the a.v. club - reviews and commentary to help you find the best (and worst) in film.,film,,,,,,,,,,,,,,,
"tv club | the a.v. club - interviews, commentary, and recommendations old and new.",tv club,,,,,,,,,,,,,,,
"music | the a.v. club - music reviews, recommendations, playlists, and long reads.",music,,,,,,,,,,,,,,,
"games | the a.v. club - game reviews and conversation, from the tabletop to consoles.",games,,,,,,,,,,,,,,,
"video - pop culture news, movie, tv, music and gaming reviews. | the a.v. club",the a.v. club,,,,,,,,,,,,,,,
"tv reviews - pop culture news, movie, tv, music and gaming reviews. | the a.v. club",the a.v. club,,,,,,,,,,,,,,,
"reviews - pop culture news, movie, tv, music and gaming reviews. | the a.v. club",the a.v. club,,,,,,,,,,,,,,,
"aux | the a.v. club - books, comics, and podcast reviews.",aux,,,,,,,,,,,,,,,
"recommends - pop culture news, movie, tv, music and gaming reviews. | the a.v. club",the a.v. club,,,,,,,,,,,,,,,
cursed takes up the sword for a female-focused arthurian legend,cursed,,,,,,,,,,,,,,,
"for our consideration - pop culture news, movie, tv, music and gaming reviews. | the a.v. club",the a.v. club,,,,,,,,,,,,,,,
this week in savage love: is long-term monogamy even possible?,savage love,,,,,,,,,,,,,,,
"savage love - pop culture news, movie, tv, music and gaming reviews. | the a.v. club",the a.v. club,,,,,,,,,,,,,,,
alex trebek's and the answer is: 6 reveals about the jeopardy! host,"alex trebek,and the answer is,jeopardy",,,,,,,,,,,,,,,
the rental review: dave franco's indie slasher is half solid,"the rental,dave franco",,,,,,,,,,,,,,,
"newswire - pop culture news, movie, tv, music and gaming reviews. | the a.v. club",the a.v. club,,,,,,,,,,,,,,,
clint eastwood sues cbd sellers for using his name,"clint eastwood,cbd",,,,,,,,,,,,,,,
season 5 of the crown won't premiere until 2022,the crown,,,,,,,,,,,,,,,
edgar wright and simon rich teaming up for studio 13,"edgar wright,simon rich,studio 13",,,,,,,,,,,,,,,
perry mason renewed for season 2 at hbo,"perry mason,hbo",,,,,,,,,,,,,,,
what to watch on disney+ in august,disney+,,,,,,,,,,,,,,,
"great job internet - pop culture news, movie, tv, music and gaming reviews. | the a.v. club",the a.v. club,,,,,,,,,,,,,,,
read this: meet reductress’s default stock photo asshole,reductress,,,,,,,,,,,,,,,
the best funko pop deals for july 2020,deals,,,,,,,,,,,,,,,
the best home office printers in 2020,printers,,,,,,,,,,,,,,,
john early on why comedians shouldn't be the voice of morality,john early,,,,,,,,,,,,,,,
david thewlis and atom egoyan on lies and food-borne illness,"atom egoyan,david thewlis",,,,,,,,,,,,,,,
"john early talks search party, elliott's milo yiannopoulos turn","john early,search party,milo yiannopoulos",,,,,,,,,,,,,,,
"tv club 10 - pop culture news, movie, tv, music and gaming reviews. | the a.v. club",the a.v. club,,,,,,,,,,,,,,,
"what to watch on hulu: best tv sci-fi, horror, fantasy (july 2020)",hulu,,,,,,,,,,,,,,,
"best of - pop culture news, movie, tv, music and gaming reviews. | the a.v. club",the a.v. club,,,,,,,,,,,,,,,
trailer: jake johnson stars in netflix's animated comedy hoops,"netflix,hoops,jake johnson",,,,,,,,,,,,,,,
"clips - pop culture news, movie, tv, music and gaming reviews. | the a.v. club",the a.v. club,,,,,,,,,,,,,,,
cursed's devon terrell on ponytails and his obama impression,"cursed,devon terrell",,,,,,,,,,,,,,,
exclusive clip: deadpool drops by robot chicken,robot chicken,,,,,,,,,,,,,,,
"what's on tonight - pop culture news, movie, tv, music and gaming reviews. | the a.v. club",the a.v. club,,,,,,,,,,,,,,,
what to watch on netflix: the best movies available july 2020,"netflix,movies",,,,,,,,,,,,,,,
what to watch: the best movies on hulu (july 2020),hulu,,,,,,,,,,,,,,,
what to watch: the best movies on amazon prime (july 2020),amazon,,,,,,,,,,,,,,,
"the best hangover cures in movies, tv, and books","tv,books",,,,,,,,,,,,,,,
"inventory - pop culture news, movie, tv, music and gaming reviews. | the a.v. club",the a.v. club,,,,,,,,,,,,,,,
"fake meat, confiscated sweatshirts, and other sordid secrets from supermarket sweep",supermarket sweep,,,,,,,,,,,,,,,
"the best wrestling matches of all time, picked by ring of honor's cody rhodes","ring of honor,wrestling",,,,,,,,,,,,,,,
"sworn to justice is cynthia rothrock's boldest, sexiest vehicle",cynthia rothrock,,,,,,,,,,,,,,,
"the most popular movies on netflix, reviewed by the a.v. club",netflix,,,,,,,,,,,,,,,
radioactive review: this marie curie biopic is a bomb,radioactive,,,,,,,,,,,,,,,
lifehacker | do everything better,lifehacker,,,,,,,,,,,,,,,
the a.v. club | pop culture obsessives writing for the pop culture obsessed.,the a.v. club,,,,,,,,,,,,,,,
"deadspin | sports news without fear, favor or compromise",deadspin,,,,,,,,,,,,,,,
gizmodo | we come from the future,gizmodo,,,,,,,,,,,,,,,
jalopnik | drive free or die.,jalopnik,,,,,,,,,,,,,,,
jezebel | a supposedly feminist website,jezebel,,,,,,,,,,,,,,,
"kotaku | gaming reviews, news, tips and more.",kotaku,,,,,,,,,,,,,,,
the root | the blacker the content the sweeter the truth,the root,,,,,,,,,,,,,,,
the takeout | food is delicious.,the takeout,,,,,,,,,,,,,,,
the onion | america's finest news source.,the onion,,,,,,,,,,,,,,,
the inventory | it's all consuming.,the inventory,,,,,,,,,,,,,,,
search - the inventory,the inventory,,,,,,,,,,,,,,,
"skillet | lifehacker - recipes, kitchen skills, party tips, tricks and hacks.",skillet,,,,,,,,,,,,,,,
"two cents | lifehacker - money, investing, budgeting and saving tips, tricks and hacks",two cents,,,,,,,,,,,,,,,
"vitals | lifehacker - health, fitness and wellness tips, tricks and hacks.",vitals,,,,,,,,,,,,,,,
"offspring | lifehacker - the best parenting tips, tricks and hacks",offspring,,,,,,,,,,,,,,,
"tech 911 - tips, tricks and hacks for doing everything better | lifehacker",lifehacker,,,,,,,,,,,,,,,
"coronavirus - tips, tricks and hacks for doing everything better | lifehacker",lifehacker,,,,,,,,,,,,,,,
"the upgrade - tips, tricks and hacks for doing everything better | lifehacker",lifehacker,,,,,,,,,,,,,,,
"video - tips, tricks and hacks for doing everything better | lifehacker",lifehacker,,,,,,,,,,,,,,,
fireflies are going extinct. here's how to help save them,fireflies,,,,,,,,,,,,,,,
how to lock your facebook messenger chats using face id,"facebook,face id,facebook messenger",,,,,,,,,,,,,,,
build your own peloton-style exercise bike and save money,"exercise bike,peloton",,,,,,,,,,,,,,,
blend wilted herbs with mayo to create a flavorful spread,herbs,,,,,,,,,,,,,,,
dave franco is playing vanilla ice in upcoming biopic,"dave franco,vanilla ice,biopic",,,,,,,,,,,,,,,
fake movie poster of the justice league murdering marvel characters was used for real in china,"justice league,china",,,,,,,,,,,,,,,
what's new on (and leaving) netflix in august 2020,netflix,,,,,,,,,,,,,,,
remove storage-hogging windows 10 apps with 'bloatbox',"windows 10,apps",,,,,,,,,,,,,,,
lifehacker,lifehacker,,,,,,,,,,,,,,,
frank and oak's sustainable cotton masks are here to help you social distance in style,frank and oak,,,,,,,,,,,,,,,
"news | the inventory - fun new products, the most unique crowdfunding campaigns, and more from the inventory.",news,,,,,,,,,,,,,,,
"the best hp laptop, desktop, and peripheral deals for july 2020",deals,,,,,,,,,,,,,,,
roundups | the inventory - the best deals and product recs from our readers’ favorite brands.,roundups,,,,,,,,,,,,,,,
"the root institute is coming this august and stacey abrams, ava duvernay, lee daniels, tarana burke and ayanna pressley will be there","the root institute,ava duvernay,lee daniels,ayanna pressley,tarana burke,stacey abrams,the root",,,,,,,,,,,,,,,
the best comedy movies on hulu: what to watch (july 2020),"hulu,comedy,movies",,,,,,,,,,,,,,,
"scientists accidentally create new type of fish, as one does",fish,,,,,,,,,,,,,,,
christopher nolan films ranked: inception to dark knight rises,"christopher nolan,inception",,,,,,,,,,,,,,,
"amid backlash, u.s. army retreats from twitch","twitch,u.s. army",,,,,,,,,,,,,,,
"social media - tips, tricks and hacks for doing everything better | lifehacker",lifehacker,,,,,,,,,,,,,,,
"sound like darth vader, t-pain and more with the voicemod app for ios and android","android,ios,voicemod",,,,,,,,,,,,,,,
"field guide - tech and science tips, reviews, news and more. | gizmodo",gizmodo,,,,,,,,,,,,,,,
"the best deals to shop on july 22, 2020",deals,,,,,,,,,,,,,,,
"nature - tips, tricks and hacks for doing everything better | lifehacker",lifehacker,,,,,,,,,,,,,,,
"investing - tips, tricks and hacks for doing everything better | lifehacker",lifehacker,,,,,,,,,,,,,,,
"work - tips, tricks and hacks for doing everything better | lifehacker",lifehacker,,,,,,,,,,,,,,,
how to organize a fundraiser on instagram,instagram,,,,,,,,,,,,,,,
"ios - tips, tricks and hacks for doing everything better | lifehacker",lifehacker,,,,,,,,,,,,,,,
"eating trash with claire - tips, tricks and hacks for doing everything better | lifehacker",lifehacker,,,,,,,,,,,,,,,
"travel - tips, tricks and hacks for doing everything better | lifehacker",lifehacker,,,,,,,,,,,,,,,
where to travel in an rv during the coronavirus pandemic,"travel,rv",,,,,,,,,,,,,,,
"streaming - tips, tricks and hacks for doing everything better | lifehacker",lifehacker,,,,,,,,,,,,,,,
all the movies and tv shows coming to netflix in july 2020,movies,,,,,,,,,,,,,,,
"events - black news, opinions, politics and culture | the root",the root,,,,,,,,,,,,,,,
film | the a.v. club - reviews and commentary to help you find the best (and worst) in film.,film,,,,,,,,,,,,,,,
"tv club | the a.v. club - interviews, commentary, and recommendations old and new.",tv club,,,,,,,,,,,,,,,
"music | the a.v. club - music reviews, recommendations, playlists, and long reads.",music,,,,,,,,,,,,,,,
"games | the a.v. club - game reviews and conversation, from the tabletop to consoles.",games,,,,,,,,,,,,,,,
"video - pop culture news, movie, tv, music and gaming reviews. | the a.v. club",the a.v. club,,,,,,,,,,,,,,,
"tv reviews - pop culture news, movie, tv, music and gaming reviews. | the a.v. club",the a.v. club,,,,,,,,,,,,,,,
"reviews - pop culture news, movie, tv, music and gaming reviews. | the a.v. club",the a.v. club,,,,,,,,,,,,,,,
"aux | the a.v. club - books, comics, and podcast reviews.",aux,,,,,,,,,,,,,,,
"recommends - pop culture news, movie, tv, music and gaming reviews. | the a.v. club",the a.v. club,,,,,,,,,,,,,,,
cursed takes up the sword for a female-focused arthurian legend,cursed,,,,,,,,,,,,,,,
"for our consideration - pop culture news, movie, tv, music and gaming reviews. | the a.v. club",the a.v. club,,,,,,,,,,,,,,,
this week in savage love: is long-term monogamy even possible?,savage love,,,,,,,,,,,,,,,
"savage love - pop culture news, movie, tv, music and gaming reviews. | the a.v. club",the a.v. club,,,,,,,,,,,,,,,
alex trebek's and the answer is: 6 reveals about the jeopardy! host,"alex trebek,and the answer is,jeopardy",,,,,,,,,,,,,,,
the rental review: dave franco's indie slasher is half solid,"the rental,dave franco",,,,,,,,,,,,,,,
"newswire - pop culture news, movie, tv, music and gaming reviews. | the a.v. club",the a.v. club,,,,,,,,,,,,,,,
clint eastwood sues cbd sellers for using his name,"clint eastwood,cbd",,,,,,,,,,,,,,,
season 5 of the crown won't premiere until 2022,the crown,,,,,,,,,,,,,,,
edgar wright and simon rich teaming up for studio 13,"edgar wright,simon rich,studio 13",,,,,,,,,,,,,,,
perry mason renewed for season 2 at hbo,"perry mason,hbo",,,,,,,,,,,,,,,
what to watch on disney+ in august,disney+,,,,,,,,,,,,,,,
